Abbey National Treasury Services Plc,,,,,,,,
ABN AMRO Bank NV [ex-Fortis Bank Nederland],ABN AMRO Bank NV,,,,,,,
ABSA Bank Ltd [South Africa],ABSA Bank Ltd [Ex-Amalgamated Banks of South A.,,,,,,,
Alcentra Funds,,,,,,,,
Alliance & Leicester Plc,,,,,,,,
Allied Irish Banks Plc [AIB],Allied Irish Bank,,,,,,,
American International Group Inc,,,,,,,,
Apollo Management LP,,,,,,,,
Ares Management LLC,Ares Capital Corp,,,,,,,
Australia & New Zealand Banking Group Ltd [ANZ],ANZ Banking Group Ltd,,,,,,,
Babson Capital Management LLC,,,,,,,,
Banca IMI,,,,,,,,
Banca Popolare di Milano SCaRL,,,,,,,,
Banca Popolare di Sondrio SCRL [BPS],,,,,,,,
Banco Bilbao Vizcaya Argentaria SA [BBVA],BBVA,,,,,,,
Banco de Sabadell SA,Banco Sabadell,,,,,,,
Banco do Brasil,,,,,,,,
Banco Santander SA,Santander UK Plc [ex-Abbey National Plc],Santander Bank NA,Santander Central Hispano SA [ex-Banco Santand..,,,,,
Bank Gospodarki Zywnosciowej,,,,,,,,
Bank Leumi (UK) Plc,,,,,,,,
Bank of America Merrill Lynch,Bank of America,BAML Capital Partners [BAMLCP],Bank of America NA,Bank of America Securities,Bank of America Netherlands Cooperatieve UA,,,
Bank of China Ltd,Bank of China (Hong Kong) Ltd,,,,,,,
Bank of Ireland Ltd,Bank of Ireland Group,Governor & Co of the Bank of Ireland,,,,,,
Bank of Montreal,,,,,,,,
Bank of New York Mellon,,,,,,,,
Bank of Nova Scotia,,,,,,,,
Bank of Taiwan,,,,,,,,
Bank of Tokyo-Mitsubishi UFJ Ltd [BTMU],Bank of Tokyo-Mitsubishi Ltd,,,,,,,
Bankia [Banco Financiero y de Ahorros SA],,,,,,,,
Bankinter SA,,,,,,,,
Barclays Bank Plc,Barclays,Barclays Capital,Barclays Bank SA,,,,,
BAWAG PSK [Bank fur Arbeit und Wirtschaft und,,,,,,,,
Bayerische Landesbank GZ [BayernLB],BayernLB,Bayerische Landesbank GZ,,,,,,
BlueBay Asset Management LLP,,,,,,,,
BNP Paribas SA,BNP Raribas,Fortis SA/NV [BNP Paribas Fortis],BNP Paribas London Branch,BNP Paribas (Suisse) SA,,,,
BRED Banque Populaire SA,,,,,,,,
Caixabank SA,Caixabank,,,,,,,
Cathay United Bank,,,,,,,,
Chang Hwa Commercial Bank,,,,,,,,
China Construction Bank [CCB],,,,,,,,
CIBC [Canadian Imperial Bank of Commerce],Canadian Imperial Bank of Commerce,CIBC Inc,CIBC World Markets,,,,,
Citi,Citibank,Citigroup,Citibank NA,Citibank NA London,Citigroup Global Markets Ltd,Citibank Ltd,Citibank International Plc,
Citizens Bank NA,,,,,,,,
Clydesdale Bank Plc,,,,,,,,
COFIDES SA,,,,,,,,
Comerica Bank,,,,,,,,
Commercial Bank International psc,,,,,,,,
Commerzbank AG,Commerzbank Aktiengesellschaft,,,,,,,
Commonwealth Bank of Australia,Commonwealth Bank,,,,,,,
Cooperative Bank Plc,,,,,,,,
Credit Agricole Corporate & Investment Bank SA...,Credit Agricole,Credit Agricole SA,Credit Agricole Corporate & Investment Bank SA...,Credit Agricole (Suisse) SA,Credit Agricole Corporate & Investment Bank SA,,,
Credit Europe Bank NV,,,,,,,,
Credit Industriel et Commercial SA [CIC],CIC Credit Industriel et Commercial,,,,,,,
Credit Suisse AG,,,,,,,,
Danske Bank A/S,,,,,,,,
DBS Bank Ltd,DBS Bank London,Development Bank of Singapore Ltd [DBS],,,,,,
Deutsche Bank AG,Deutsche Bank Securities Inc,Deutsche Bank AG Luxembourg,,,,,,
Dexia Bank SA,,,,,,,,
DNB Bank ASA,DNB ASA [ex-DnB NOR Bank ASA],DnB Markets,DNB ASA,DNB,DNB (UK) Limited,,,
Doha Bank QSC,,,,,,,,
DZ Bank AG,,,,,,,,
Ecobank Transnational Inc,,,,,,,,
Erste Group Bank,Erste Bank AG,,,,,,,
Export Development Canada [EDC],Export Development Bank of Canada,,,,,,,
Fifth Third Bank,,,,,,,,
Fifth Third Bank,,,,,,,,
First Abu Dhabi Bank [ex-National Bank of Abu ...,,,,,,,,
First Commercial Bank,,,,,,,,
FirstRand Bank Ltd [FRB],FirstRand Bank Ltd,,,,,,,
GarantiBank International NV [GBI],,,,,,,,
GE Corporate Finance Bank SAS,General Electric Capital Corp,GE Capital Corp,GE Capital Bank,GE Capital Finance Ltd,GE Capital European Funding Ltd,,,
Goldman Sachs & Co,Goldman Sachs Bank USA,Goldman Sachs Group Inc,Goldman Sachs (UK),Goldman Sachs International Bank,,,,
Guggenheim Partners Investment Management,,,,,,,,
Hayfin Capital Management LLP,,,,,,,,
Haymarket Financial LLP,,,,,,,,
HSBC Bank Plc,HSBC,HSBC Trinkaus & Burkhardt KGaA,,,,,,
HSH Nordbank AG,,,,,,,,
Hypothekenbank Frankfurt AG [Ex-Eurohypo AG],,,,,,,,
ICICI Bank,,,,,,,,
Industrial & Commercial Bank of China Ltd [ICBC],Industrial and Commercial Bank of China Ltd,ICBC (IC) Ltd,,,,,,
ING Bank NV,ING,ING Bank,ING Bank AS,,,,,
Intermediate Capital Group [ICG],,,,,,,,
International Finance Corp,,,,,,,,
Intesa Sanpaolo SpA [ISP],,,,,,,,
Investec Bank Plc,Investec Group Ltd,Investec Bank Ltd [South Africa],,,,,,
Jefferies & Co,Jefferies Group Inc,,,,,,,
JP Morgan,JP Morgan & Co,JP Morgan Chase & Co,JP Morgan Chase Bank NA,JP Morgan Chase,JP Morgan PLC,JP Morgan Securities LLC,JP Morgan Securities Plc,JPMorgan Chase Bank
KBC Bank NV,KBC Group,,,,,,,
KfW IPEX-Bank GmbH,,,,,,,,
KKR Capital Markets,,,,,,,,
Kredyt Bank SA [ex-Bank Zachodni WBK SA] [BZWBK],,,,,,,,
La Caixa [La Caja de Ahorros I Pensions de Bar.,,,,,,,,
Landesbank Baden-Wurttemberg [LBBW],Landesbank Baden-Wurttemberg [London],,,,,,,
Landesbank Hessen-Thuringen GZ [Helaba],,,,,,,,
Le Credit Lyonnais SA [LCL],,,,,,,,
Lloyds Banking Group Plc,Lloyds Bank,Lloyds Bank Plc,Lloyds Bank Plc [ex-Lloyds TSB Bank Plc],Lloyds TSB Bank Capital Markets,Lloyds Securities Inc,Lloyds TSB Bank London,,
Lombard Bank,,,,,,,,
M&G Income Investment Co Ltd,,,,,,,,
Macquarie Infrastructure Debt Investment Solut,Macquarie Group Ltd,,,,,,,
Mauritius Commercial Bank Ltd,,,,,,,,
Mediobanca SpA,Mediobanca SpA [Banca di Credito Finanziario SpA],,,,,,,
MetLife,,,,,,,,
Mitsubishi UFJ Financial Group Inc,Bank of Tokyo-Mitsubishi UFJ Trust Co,,,,,,,
Mizuho Bank Ltd,Mizuho Corporate Bank Ltd,Mizuho,,,,,,
MMI Holdings Ltd (MMI),,,,,,,,
Monte Paschi Banque SA [MPB],,,,,,,,
Morgan Stanley,Morgan Stanley & Co International,Morgan Stanley Bank NA,Morgan Stanley Bank,,,,,
National Australia Bank Ltd [NAB],National Australia Bank Ltd,,,,,,,
National Bank of Canada,,,,,,,,
National Bank of Fujairah PSC,,,,,,,,
National Westminster Bank Plc,,,,,,,,
Nationwide Building Society,,,,,,,,
Natixis SA,Natixis,,,,,,,
NatWest Markets,NatWest Bank NA,,,,,,,
Nedbank Ltd,,,,,,,,
NIBC Bank NV [NIBC],,,,,,,,
Nomura Bank Europe,Nomura Bank International Plc,,,,,,,
Norddeutsche Landesbank GZ [NordLB],,,,,,,,
Nordea Bank AB,Nordea Bank Finland Plc,,,,,,,
Oversea-Chinese Banking Corp Ltd [OCBC],OCBC Bank,,,,,,,
Partners Group AG,,,,,,,,
PNC Bank,PNC Capital Corp,,,,,,,
Portigon AG,,,,,,,,
Portigon AG [ex-WestLB AG],,,,,,,,
Powszechna Kasa Oszczednosci Bank Panstwowy,,,,,,,,
Prudential M&G,Prudential Capital Group LP,,,,,,,
Qatar National Bank SAQ [QNB],,,,,,,,
Rabobank,Rabobank International,Cooperative Centrale Raiffeisen-Boerenleenbank..,Rabobank NV,,,,,
Raiffeisen Bank International AG [RBI],Raiffeisen Bank International AG,Raiffeisen Bank Polska SA,,,,,,
Rand Merchant Bank Ltd [RMB],,,,,,,,
Royal Bank of Canada,RBC Capital Markets,,,,,,,
Royal Bank of Scotland Plc [RBS] ,RBS,Royal Bank of Scotland,Bank of Scotland Plc,,,,,
Sankaty Advisors LLC,,,,,,,,
Sanlam Investment Holdings Ltd,,,,,,,,
Sanlam Ltd [South African National Life Assura..,,,,,,,,
Scotia Bank,Scotiabank,Scotiabank Europe Plc,,,,,,
Shawbrook Bank Ltd,,,,,,,,
Siemens AG,Siemens Bank GmbH,,,,,,,
Skandinaviska Enskilda Banken AB [SEB],SEB AG,SEB Merchant Banking AB,,,,,,
Societe Generale SA,SG Corporate & Investment Banking,,,,,,,
Sovereign Bank,,,,,,,,
Standard Bank of South Africa Ltd,Standard Bank Plc,,,,,,,
Standard Chartered Bank Plc [SCB],Standard Chartered Plc,,,,,,,
State Bank of India,,,,,,,,
Sumitomo Mitsui Banking Corp Europe Ltd [SMBCE],Sumitomo Mitsui Banking Corp,SMBC,Sumitomo Mitsui Trust Bank Ltd,,,,,
SunTrust Bank,,,,,,,,
Svenska Handelsbanken AB (publ),Svenska Handelsbanken AB (publ) [SHBA],Handelsbanken Capital Markets,Handelsbanken Markets,,,,,
TD Securities,TD Bank NA,,,,,,,
Toronto Dominion Bank,,,,,,,,
UBS AG,,,,,,,,
Ulster Bank Ltd,,,,,,,,
UniCredit,Unicredit Bank Austria AG,UniCredit Group (HVB),UniCredit Bank AG,,,,,
Union Bank NA,,,,,,,,
United Overseas Bank,,,,,,,,
US Bank Trust National Association,,,,,,,,
Wells Fargo Bank,Wells Fargo Bank NA,Wells Fargo Bank London NA,Wells Fargo Bank International (WFBI),Wells Fargo & Co,,,,
Westbourne Capital,,,,,,,,
Westdeutsche ImmobilienBank AG [WIB],,,,,,,,
Westpac Banking Corp,,,,,,,,
Yorkshire Bank Plc,,,,,,,,
Zurich Insurance Group AG,,,,,,,,
